locality,state,location
Eufaula,AK,"Eufaula, AK"
Libbysville,AK,"Libbysville, AK"
Sitka,AK,"Sitka, AK"
Auburn,AL,"Auburn, AL"
Birmingham,AL,"Birmingham, AL"
Florence,AL,"Florence, AL"
Gainesville,AL,"Gainesville, AL"
Greensboro,AL,"Greensboro, AL"
Huntsville,AL,"Huntsville, AL"
La Grange,AL,"La Grange, AL"
Marion,AL,"Marion, AL"
Mobile,AL,"Mobile, AL"
Montgomery,AL,"Montgomery, AL"
Selma,AL,"Selma, AL"
Talladaga,AL,"Talladaga, AL"
Talladega,AL,"Talladega, AL"
Tuscaloosa,AL,"Tuscaloosa, AL"
Eagletown,AR,"Eagletown, AR"
Eldorado,AR,"Eldorado, AR"
Fayetteville,AR,"Fayetteville, AR"
Fort Smith,AR,"Fort Smith, AR"
Little Rock,AR,"Little Rock, AR"
Van Buren,AR,"Van Buren, AR"
NA,AR,"NA, AR"
Arivaca,AZ,"Arivaca, AZ"
Camp McDowell,AZ,"Camp McDowell, AZ"
Ft Grant,AZ,"Ft Grant, AZ"
Ft. Bowie,AZ,"Ft. Bowie, AZ"
Ft. Buchanan,AZ,"Ft. Buchanan, AZ"
Ft. Crittenden,AZ,"Ft. Crittenden, AZ"
Ft. Lowell,AZ,"Ft. Lowell, AZ"
Ft. Mojave,AZ,"Ft. Mojave, AZ"
Ft. Whipple,AZ,"Ft. Whipple, AZ"
St. Joseph,AZ,"St. Joseph, AZ"
Tucson,AZ,"Tucson, AZ"
NA,AZ,"NA, AZ"
Alameda,CA,"Alameda, CA"
Alvarado,CA,"Alvarado, CA"
Anaheim,CA,"Anaheim, CA"
Angel Island,CA,"Angel Island, CA"
Antioch,CA,"Antioch, CA"
Arcata,CA,"Arcata, CA"
Auburn,CA,"Auburn, CA"
Bend City,CA,"Bend City, CA"
Benicia,CA,"Benicia, CA"
Benicio,CA,"Benicio, CA"
Berkeley,CA,"Berkeley, CA"
Bodega,CA,"Bodega, CA"
Camp Gaston,CA,"Camp Gaston, CA"
Can Carlos,CA,"Can Carlos, CA"
Cold Spring,CA,"Cold Spring, CA"
Cold Springs,CA,"Cold Springs, CA"
Colorna,CA,"Colorna, CA"
Columbia,CA,"Columbia, CA"
Colusa,CA,"Colusa, CA"
Cooperpolis,CA,"Cooperpolis, CA"
Crescent City,CA,"Crescent City, CA"
Davies,CA,"Davies, CA"
Dolores,CA,"Dolores, CA"
Downieville,CA,"Downieville, CA"
Dutch Flat,CA,"Dutch Flat, CA"
El Dorado,CA,"El Dorado, CA"
Eureka,CA,"Eureka, CA"
Fresno,CA,"Fresno, CA"
Ft. Yuma,CA,"Ft. Yuma, CA"
Grass Valley,CA,"Grass Valley, CA"
Hawkin's Bar,CA,"Hawkin's Bar, CA"
Heldsburg,CA,"Heldsburg, CA"
Jackson,CA,"Jackson, CA"
Jenny Lind,CA,"Jenny Lind, CA"
Knight's Ferry,CA,"Knight's Ferry, CA"
Lafayette,CA,"Lafayette, CA"
Locklord,CA,"Locklord, CA"
Los Angeles,CA,"Los Angeles, CA"
Marysville,CA,"Marysville, CA"
Maryville,CA,"Maryville, CA"
Mattole,CA,"Mattole, CA"
Mendocino,CA,"Mendocino, CA"
Merkleville?,CA,"Merkleville?, CA"
Mokelumne Hill,CA,"Mokelumne Hill, CA"
Monterey,CA,"Monterey, CA"
napa,CA,"napa, CA"
Napa,CA,"Napa, CA"
Napa City,CA,"Napa City, CA"
Nevada City,CA,"Nevada City, CA"
North San Juan,CA,"North San Juan, CA"
Oakland,CA,"Oakland, CA"
Orange,CA,"Orange, CA"
Oroville,CA,"Oroville, CA"
Orville,CA,"Orville, CA"
Pacheco,CA,"Pacheco, CA"
Petaluma,CA,"Petaluma, CA"
Pine Grove,CA,"Pine Grove, CA"
Placerville,CA,"Placerville, CA"
Red Bluff,CA,"Red Bluff, CA"
Redwood City,CA,"Redwood City, CA"
Rio Vista,CA,"Rio Vista, CA"
