locality,state
Eufaula,AK
Libbysville,AK
Sitka,AK
Auburn,AL
Birmingham,AL
Florence,AL
Gainesville,AL
Greensboro,AL
Huntsville,AL
La Grange,AL
Marion,AL
Mobile,AL
Montgomery,AL
Selma,AL
Talladaga,AL
Talladega,AL
Tuscaloosa,AL
Eagletown,AR
Eldorado,AR
Fayetteville,AR
Fort Smith,AR
Little Rock,AR
Van Buren,AR
NA,AR
Arivaca,AZ
Camp McDowell,AZ
Ft Grant,AZ
Ft. Bowie,AZ
Ft. Buchanan,AZ
Ft. Crittenden,AZ
Ft. Lowell,AZ
Ft. Mojave,AZ
Ft. Whipple,AZ
St. Joseph,AZ
Tucson,AZ
NA,AZ
Alameda,CA
Alvarado,CA
Anaheim,CA
Angel Island,CA
Antioch,CA
Arcata,CA
Auburn,CA
Bend City,CA
Benicia,CA
Benicio,CA
Berkeley,CA
Bodega,CA
Camp Gaston,CA
Can Carlos,CA
Cold Spring,CA
Cold Springs,CA
Colorna,CA
Columbia,CA
Colusa,CA
Cooperpolis,CA
Crescent City,CA
Davies,CA
Dolores,CA
Downieville,CA
Dutch Flat,CA
El Dorado,CA
Eureka,CA
Fresno,CA
Ft. Yuma,CA
Grass Valley,CA
Hawkin's Bar,CA
Heldsburg,CA
Jackson,CA
Jenny Lind,CA
Knight's Ferry,CA
Lafayette,CA
Locklord,CA
Los Angeles,CA
Marysville,CA
Maryville,CA
Mattole,CA
Mendocino,CA
Merkleville?,CA
Mokelumne Hill,CA
Monterey,CA
napa,CA
Napa,CA
Napa City,CA
Nevada City,CA
North San Juan,CA
Oakland,CA
Orange,CA
Oroville,CA
Orville,CA
Pacheco,CA
Petaluma,CA
Pine Grove,CA
Placerville,CA
Red Bluff,CA
Redwood City,CA
Rio Vista,CA
Sacramento,CA
San Andreas,CA
San Antonio,CA
San Bernardino,CA
San Buenaventura,CA
San Diego,CA
San Fernando,CA
San Francisco,CA
San Jose,CA
San Juan Bautista,CA
San Juan Capistrano,CA
San Lorenzo,CA
San Luis Obispo,CA
San Luis Rey,CA
San Quentin,CA
San Rafael,CA
San Raphael,CA
San Solano,CA
Santa Barbara,CA
Santa Clara,CA
Santa Cruz,CA
Santa Ine's,CA
Santa Inez,CA
Santa Rosa,CA
Sarcamento,CA
Sawyer's Bar,CA
Scott River,CA
shasta,CA
Shasta,CA
Soledad,CA
Sonoma,CA
Sonora,CA
Spanish Flat,CA
St. Louis,CA
Stables' Ranch,CA
Stockton,CA
Suisun,CA
Tomales,CA
Ukiah,CA
Uniontown,CA
Vacaville,CA
Vallejo,CA
Visalia,CA
Volcano,CA
Watsonville,CA
Weaverville,CA
"Whiskey Diggings, Sierra County",CA
Woodland,CA
Woodside,CA
Yreka,CA
NA,CA
Colorado Springs,CO
Denver,CO
Ft. Garland,CO
Ft. Lyon,CO
Ft. Sedgwick,CO
Golden,CO
Greeley,CO
Greeley (Union Colony),CO
Longmont,CO
Pueblo,CO
NA,CO
Abington,CT
Ansonia,CT
Ashford,CT
Avon,CT
Barkhamstead,CT
Barkhamsted,CT
Berlin,CT
Bethany,CT
Bethel,CT
Birmingham,CT
Bloomfield,CT
Bolton,CT
Bozrah,CT
Branford,CT
Bridgeport,CT
Bristol,CT
Brookfield,CT
Brooklyn,CT
Buckingham,CT
Burlington,CT
Canaan,CT
Canterbury,CT
Canton,CT
Chatham,CT
Cheshire,CT
Chesire,CT
Chester,CT
